slug,tag_name,month,year,day,attendance,fullname,administrator_id,country
2013-10-29-vertpaleo,SWC,10,2013,29,8,Society of Vertebrate Paleontology,173,US
2013-11-14-exeter,SWC,11,2013,14,23,University of Exeter,278,GB
2013-11-14-whoi,SWC,11,2013,14,35,Woods Hole Oceanographic Institute,173,US
2013-11-18-lbl,SWC,11,2013,18,32,Lawrence Berkeley National Laboratory,173,US
2013-11-23-berkeley,SWC,11,2013,23,20,University of California Berkeley,173,US
2013-11-25-unimelb,SWC,11,2013,25,36,University of Melbourne,173,AU
2013-12-03-edinburgh,SWC,12,2013,03,34,University of Edinburgh,278,GB
2013-12-03-sesync,SWC,12,2013,03,42,National Socio-Environmental Synthesis Center,173,US
2013-12-12-glasgow,SWC,12,2013,12,43,Scottish Universities Physics Alliance,278,GB
2013-12-16-dundee,SWC,12,2013,16,32,University of Dundee,278,GB
2014-01-06-unb,SWC,01,2014,06,20,University of New Brunswick,297,CA
2014-01-07-cam,SWC,01,2014,07,24,University of Cambridge,278,GB
2014-01-08-iastate,SWC,01,2014,08,64,Iowa State University,173,US
2014-01-13-toronto,LC,01,2014,13,21,Mozilla Foundation,297,CA
2014-01-13-uri,SWC,01,2014,13,40,University of Rhode Island,173,US
2014-01-13-wisc,SWC,01,2014,13,32,University of Wisconsin - Madison,173,US
2014-01-14-manchester,SWC,01,2014,14,19,University of Manchester,278,GB
2014-01-16-ttt-online,"TTT,online",01,2014,16,67,Software Carpentry,173,W3
2014-01-18-ucb,SWC,01,2014,18,21,University of California Berkeley,173,US
2014-01-20-montreal,SWC,01,2014,20,26,Computer Research Institute of Montreal,297,CA
2014-01-21-erdc,SWC,01,2014,21,26,US Army Engineer Research and Development Center,173,US
2014-01-27-Stanford,SWC,01,2014,27,28,Stanford University,173,US
2014-01-27-miami,SWC,01,2014,27,120,University of Miami,173,US
2014-01-30-cse,SWC,01,2014,30,28,University of Illinois at Urbana-Champaign,173,US
2014-01-30-mit,SWC,01,2014,30,30,Massachusetts Institute of Technology,173,US
2014-01-31-ucsb,SWC,01,2014,31,36,University of California Santa Barbara,173,US
2014-02-03-TGAC,SWC,02,2014,03,24,The Genome Analysis Centre,278,GB
2014-02-10-hobart,SWC,02,2014,10,37,AMOS Conference (Melbourne),173,AU
2014-02-11-toronto,SWC,02,2014,11,23,Mozilla Foundation,297,CA
2014-02-13-UNSW,SWC,02,2014,13,38,University of New South Wales,173,AU
2014-02-15-umkc,SWC,02,2014,15,27,University of Missouri-Kansas City,173,US
2014-02-18-UCL,SWC,02,2014,18,27,University College London,278,GB
2014-02-18-UTS,SWC,02,2014,18,29,University of Technology Sydney,173,AU
2014-02-18-aims,SWC,02,2014,18,24,African Institute of Mathematical Sciences,173,GH
2014-02-22-SFU,SWC,02,2014,22,47,Simon Fraser University,297,CA
2014-02-24-esac,SWC,02,2014,24,42,European Space Astronomy Centre,306,ES
2014-02-28-ethz,SWC,02,2014,28,27,Swiss Federal Institute of Technology Zurich,306,CH
2014-03-10-uva,SWC,03,2014,10,37,University of Virginia,173,US
2014-03-17-nyu,SWC,03,2014,17,70,New York University,173,US
2014-03-17-purdue,SWC,03,2014,17,25,Purdue University,173,US
2014-03-17-ucb,SWC,03,2014,17,74,University of California Berkeley,173,US
2014-03-17-uw,SWC,03,2014,17,74,University of Washington,173,US
2014-03-18-combine,SWC,03,2014,18,42,University of Melbourne,173,AU
2014-04-02-uvic,SWC,04,2014,02,26,University of Victoria,297,CA
2014-04-03-sdu,SWC,04,2014,03,20,University of Southern Denmark,306,DK
2014-04-04-ou,SWC,04,2014,04,39,University of Oklahoma,173,US
2014-04-09-GARNET,SWC,04,2014,09,28,University of Warwick,278,GB
2014-04-09-ucar,SWC,04,2014,09,12,University Corporation for Atmospheric Research,173,US
2014-04-14-pycon,SWC,04,2014,14,40,PyCon,297,CA
2014-04-14-pycon-lib,SWC,04,2014,14,41,PyCon,297,CA
2014-04-14-pycon-ngs,SWC,04,2014,14,39,PyCon,297,CA
2014-04-14-pycon-r,SWC,04,2014,14,40,PyCon,297,CA
2014-04-14-ttt-pycon,"TTT,online",04,2014,14,34,Software Carpentry,173,W3
2014-04-14-wise,"WiSE,SWC",04,2014,14,130,Software Carpentry,173,US
2014-04-23-uib,SWC,04,2014,23,25,University of Bergen,306,NO
2014-04-24-ttt-online,"TTT,online",04,2014,24,58,Software Carpentry,173,W3
2014-04-28-ttt-mozilla,"TTT,online",04,2014,28,43,Software Carpentry,173,W3
2014-04-29-gwu,SWC,04,2014,29,23,George Washington University,173,US
2014-05-05-mcmaster,SWC,05,2014,05,30,McMaster University,297,CA
2014-05-08-datacarpentry,SWC,05,2014,08,30,NESCENT,173,US
2014-05-08-soton,SWC,05,2014,08,39,University of Southampton,278,GB
2014-05-12-cshl,SWC,05,2014,12,36,Cold Spring Harbor Laboratory,173,US
2014-05-12-furg,SWC,05,2014,12,30,Universidade Federal do Rio Grande,173,BR
2014-05-12-oicr-toronto,SWC,05,2014,12,15,Mozilla Foundation,297,CA
2014-05-12-ubc,SWC,05,2014,12,16,University of British Columbia,297,CA
2014-05-19-scilifelab,SWC,05,2014,19,54,"Science Life Lab, Stockholm",306,SE
2014-05-19-ucl,SWC,05,2014,19,12,University College London,278,GB
2014-05-23-csdms,SWC,05,2014,23,39,Community Surface Dynamics Modeling System,173,US
2014-05-29-ucsd,SWC,05,2014,29,39,Scripps Institute,173,US
2014-06-02-icl-geo,"SWC,unresponsive",06,2014,02,,Imperial College London,343,GB
2014-06-02-monash,SWC,06,2014,02,36,Monash University,173,AU
2014-06-02-ou,SWC,06,2014,02,12,University of Oklahoma,173,US
2014-06-03-cern,SWC,06,2014,04,31,Universita di Pisa,306,IT
2014-06-04-cornell,SWC,06,2014,04,43,Cornell University,173,US
2014-06-05-ttt-online,"TTT,online",06,2014,05,29,Software Carpentry,173,W3
2014-06-10-cyi,SWC,06,2014,10,25,Cyprus Institute,306,CY
2014-06-10-spelman,SWC,06,2014,10,49,Spelman College,173,US
2014-06-11-ttt-online,"TTT,online",06,2014,11,59,Software Carpentry,173,W3
2014-06-15-khbp,SWC,06,2014,15,34,SESAME,173,JO
2014-06-16-claremont,SWC,06,2014,16,81,Claremont Colleges,173,US
2014-06-16-davis,SWC,06,2014,16,82,University of California Davis,173,US
2014-06-16-duke,SWC,06,2014,16,33,Duke University,173,US
2014-06-16-toronto,SWC,06,2014,16,38,Mozilla Foundation,297,CA
2014-06-20-yale,SWC,06,2014,20,38,Yale University,173,US
2014-06-22-caims,SWC,06,2014,22,6,Canadian Applied and Industrial Mathematics Society,297,CA
2014-06-24-ru,SWC,06,2014,24,53,Rockefeller University,173,US
2014-06-24-wise-penn,"WiSE,SWC",06,2014,24,54,University of Pennsylvania,173,US
2014-06-25-Reading,SWC,06,2014,25,27,University of Reading,278,GB
2014-06-26-nd,SWC,06,2014,26,34,University of Notre Dame,173,US
2014-06-30-stanford,SWC,06,2014,30,30,Stanford University,173,US
2014-07-02-smu,SWC,07,2014,02,39,Saint Mary's University,297,CA
2014-07-08-stonybrook,SWC,07,2014,08,33,Stony Brook University,173,US
2014-07-08-wise-toronto,"WiSE,SWC",07,2014,08,44,University of Toronto,297,CA
2014-07-10-Nottingham,SWC,07,2014,10,25,University of Nottingham,278,GB
2014-07-10-epl,LC,07,2014,10,23,Edmonton Public Library,297,CA
2014-07-10-esip,SWC,07,2014,10,18,Federation of Earth Science Information Partners,173,US
2014-07-14-Dalhousie,SWC,07,2014,14,34,Dalhousie University,297,CA
2014-07-15-toronto,LC,07,2014,15,28,Mozilla Foundation,297,CA
2014-07-17-aspb,SWC,07,2014,17,38,American Society of Plant Biologists,173,US
2014-07-19-umich,SWC,07,2014,19,38,University of Michigan,173,US
2014-07-21-cranfield,SWC,07,2014,21,28,Cranfield University,278,GB
